:1763
Marty Lindsey:4004
Oana Pellea:5674
Hans Matheson:2973
William Lucking:4468
Bobby Coleman:2788
Michael Nardone:4453
André the Giant:5017
Paul Ben-Victor:3118
Imelda Staunton:473
Jason Patric:147
Oksana Akinshina:1469
Jenette Goldstein:2178
Louis Mandylor:2859
Jay Adams:3945
Bernard Cribbins:1522
Franco Nero:4310
Tom Burlinson:5459
Hannah Spearritt:4682
Virginie Ledoyen:2383
Chelsey Reist:5880
Jorma Taccone:2728
Keisha Castle-Hughes:591
Rae Dawn Chong:1108
Silvia Colloca:5776
Peter Gallagher:937
Ossie Davis:3307
Péter Fancsikai:3060
Rob Morrow:5111
Ferdinando Vetere:5052
Agata Trzebuchowska:3581
Hayley McFarland:4839
Linda Fiorentino:2398
Richard Roundtree:2628
George Newton:5884
Gabrielle Carteris:3076
Betty Hutton:5590
Glen Murphy:5615
Collin Chou:2127
Gaye Brown:4807
Daniel Henney:2120
Brandon Smith:3311
John Gilbert:1992
Ulrich Mühe:3628
Chris Brochu:1533
Earl Cameron:3166
Noam Jenkins:5074
Margaret Hamilton:1590
Hansika Motwani:1697
Gigi Rice:4887
Michael Stuhlbarg:1319
Adam Boyer:2896
Hana Mae Lee:2897
Josh Hutcherson:162
Laura Brent:4155
Ben Miller:4470
Charles Irving Beale:6129
Carol Kane:532
Josh Zuckerman:2304
Craig T. Nelson:931
Adrian Paul:2955
Ryan Gosling:350
Joyful Drake:5640
Mark Margolis:441
Mathieu Amalric:1081
Jack Nance:4064
Manuela Velasco:1635
Grigoriy Dobrygin:4819
Tom Cruise:56
Yaya DaCosta:951
Liya Kebede:4779
Marc Singer:5411
Hill Harper:1870
Steven Yeun:1799
Orlando Bloom:180
Jessy Schram:1725
Madison Davenport:2734
Temuera Morrison:2104
Ranbir Kapoor:1274
Ian Hart:2763
Grant Heslov:2168
Melanie Griffith:1132
Paul F. Tompkins:2699
Jodie Whittaker:2923
John Kapelos:356
Joe Cassidy:5975
Sydney Penny:5365
Harold Ramis:716
Laura Fraser:1868
Diane Ladd:3326
David Walton:4401
Angell Conwell:1485
Ruby Jerins:4991
Persis Khambatta:5464
Lenny Venito:2363
Harold Gould:3446
Molly Dunsworth:5653
Jacqueline Lovell:4908
Dylan Minnette:2338
Adam Rifkin:4029
Sid Haig:1316
David Clennon:4547
Vanessa Lee Chester:4285
Toni Servillo:1137
Chris Barrie:4216
Ellen Albertini Dow:2751
Dominic Cooper:78
John Doman:645
Hector Echavarria:1971
Nicole de Boer:2959
Livvy Stubenrauch:4158
Tamar Novas:5087
Kathryn Erbe:3042
Paul Popplewell:5410
Brion James:4392
Terry Kinney:2460
KaDee Strickland:2479
Robert Foxworth:5125
Denholm Elliott:3171
Kelly Ripa:4534
Bill Johnson:1452
Sal Mineo:5696
Jodi Lyn O'Keefe:588
Jimmy Shubert:4345
Christopher Shea:6179
Reid Ewing:2621
Rick Rossovich:5353
Isaac Hayes:1588
Michael Dorn:4312
Elizabeth Streb:1919
Jessica Lowndes:1413
Chris Moss:974
Richard Roxburgh:2185
Matt Frewer:102
Jake Weber:2132
Igor Jijikine:2691
Tyrone Power:1652
John Hensley:5765
Steve Le Marquand:5269
Tisha Campbell-Martin:1359
Rita Maiden:6187
Kevin Nealon:3101
Liam James:2111
Jonathan Sadowski:2176
Tony Curran:118
Sarah Kazemy:1840
Alex Pettyfer:413
Anita Briem:4460
Amanda Plummer:5705
Rizwan Manji:3990
Hal Holbrook:987
Ben Platt:4967
Shigeo Kobayashi:4213
Peter Breck:3897
Vernee Watson:5303
Lainie Kazan:4803
Joe Lev:4046
Bob Neill:244
Billy West:1787
Raoul Max Trujillo:5181
Thomas Law:2804
Jacob Zachar:4012
Nichola Burley:3870
Yul Vazquez:1811
Jane Fonda:1264
T.R. Silambarasan:3682
Charles Aznavour:5000
Richard Lawson:853
Chiaki Kuriyama:4390
Tina Gilton:1284
Red Skelton:5717
Tony Way:4101
Patrick Macnee:657
Eric Blore:6003
Tom Welling:487
Brahmanandam:5801
Keith Richards:3792
Sammo Kam-Bo Hung:1360
Jeff Bennett:207
Patrick Brammall:3568
Jeff DeRocker:4885
Paul Kaye:1668
Nathan Parsons:3645
Jessica Raine:5013
Lex Shrapnel:4229
Andrea Di Stefano:4273
Dororthy Thorton:5014
Min-sik Choi:1114
Nicholas Braun:2355
Eliza Coupe:2985
Kiowa Gordon:5846
Chris Pontius:3275
Scandar Copti:3806
Salli Richardson-Whitfield:2707
George Voskovec:5445
Kevin Tighe:3109
Emir Kusturica:684
Marc Donato:3092
Jimmy Bennett:55
Paul Michael Glaser:3165
Jordana Spiro:1813
Agnes Bruckner:2962
Faizon Love:663
John Newton:2013
Ji-hyun Jun:5414
Lena Endre:5101
Aida Elkashef:5793
Conrad Coates:4971
Tracey Walter:3130
Luis Sanchez:1923
Kevin Scott Richardson:1866
Taylor Blackwell:2523
Tygo Gernandt:3332
Mary Tsoni:3970
Daniel Stern:1034
Daniel Stewart Sherman:3397
Blair Brown:353
Brendan Mackey:3635
Essie Davis:87
Erica Leerhsen:2945
Stellan Skarsgård:5383
David Dencik:3012
Simon Callow:4622
Alicia Sixtos:6070
Igal Naor:4211
Homayoun Ershadi:5028
Nick Cannon:2464
Kacey Clarke:5316
Darci Kistler:925
Willow Smith:4156
Omari Hardwick:834
Billy Crudup:852
Frank Hvam:3577
Campbell Scott:1396
Craig Stark:320
Manoj Bajpayee:3804
Anna-Louise Plowman:2373
Rosanna Arquette:605
Tucker Albrizzi:3170
Brett Wagner:5668
Bárbara Mori:1245
