:113
Aaron Seltzer:904
Henry Hobson:1700
Ken Roht:2321
Brett Piper:2354
Jonathan Levine:691
Fina Torres:1454
Wayne Beach:1081
Jacques Perrin:262
André Øvredal:1757
Mateo Gil:1690
Vicky Jenson:1136
Jason Trost:2386
Fernando Baez Mella:2220
Gregory Widen:2255
Nadia Tass:2311
Jeff Nichols:1008
Darren Lynn Bousman:1303
Carmen Marron:1873
Michael McGowan:1596
José Padilha:139
Clark Gregg:1771
Julie Taymor:508
Klaus Menzel:1654
Richard Schenkman:2135
Shane Black:23
Dennis Hopper:1648
Darrell Roodt:1151
Masayuki Ochiai:1442
William Dear:1226
Andrew Morahan:783
Kenneth Johnson:1071
David Anspaugh:967
Jon Wright:1595
John R. Leonetti:707
David Hayter:1018
David Slade:312
James Cox:1587
Stanton Barrett:1663
Andrucha Waddington:1743
François Truffaut:1981
Richard Kelly:826
Randall Miller:1638
Henry Bean:1991
Justin Thomas Ostensen:2046
Richard Shepard:586
Joshua Marston:1781
Patrick Gilmore:379
Jesse Dylan:401
Allen Coulter:1063
Jill Sprecher:1802
Marcus Nispel:2382
Peyton Reed:118
Dean DeBlois:64
Billy Kent:1644
Baltasar Kormákur:337
Andrés Muschietti:1086
John Michael McDonagh:1554
John Ottman:1108
Irvin Kershner:613
Henry Selick:284
Warren Beatty:486
Craig Moss:1823
Timothy Hines:1268
Dennis Iliadis:1096
Rob Bowman:318
Peter Faiman:1415
Karen Moncrieff:1775
Nanette Burstein:680
Steve Pink:614
Elizabeth Banks:752
Kurt Hale:2197
Majid Majidi:2316
Brad Furman:493
Joseph Kahn:570
Juan José Campanella:889
Allison Anders:1711
Sai Varadan:2330
Tony Scott:165
Nick Tomnay:2102
Sarah Smith:224
William Cottrell:2013
Robert Hall:2129
Abel Ferrara:1222
Tom Schulman:1801
Harry Beaumont:2245
Perry Lang:1571
Danny Perez:1869
Paul Greengrass:116
Laurent Cantet:1778
Eugène Lourié:2299
Alex van Warmerdam:1842
Xavier Gens:1021
Ethan Coen:607
Paul Donovan:2027
Herb Freed:2269
Tom Gormican:1443
Robert Heath:2126
William Gazecki:2182
Jake Schreier:1240
Jamie Blanks:1169
Peter Chelsom:163
David Schwimmer:1338
Kirk De Micco:143
Kate Connor:1814
Alan J. Pakula:211
Todd Phillips:235
Paul Bartel:2264
Paul Weitz:166
Milos Forman:429
Fred Wolf:802
Quentin Dupieux:2208
Doug Block:2250
Mike Mills:1714
Chris Columbus:126
Vladlen Barbe:1518
Robert Stromberg:56
Tom McLoughlin:1789
Paul Fox:2239
Sean Durkin:2077
Robert Luketic:275
Rob Letterman:46
Hans Petter Moland:1535
Roger Christian:258
Al Franklin:2279
George Ratliff:1593
Zach Cregger:1556
Eli Craig:1649
Matthew Watts:2229
Duncan Jones:75
John Patrick Shanley:915
Allan Arkush:1339
Michel Gondry:152
Robert Greenwald:2004
Michael Winner:1459
Simon West:172
Mel Brooks:873
Rupert Wyatt:196
Newt Arnold:1985
Colin Strause:558
Lasse Hallström:644
Matty Rich:1453
Ben Affleck:520
Tom Ford:1501
